SOURCE|NIVEAU|NUMERO|LIBELLE
NATIONAL|0|10|FRAIS TRAD
NATIONAL|0|20|FRAIS LS
NATIONAL|0|40|SEC LS
NATIONAL|0|50|TEXTILE
NATIONAL|0|60|BAZAR
NATIONAL|0|70|NON COMMERCIALE
NATIONAL|0|80|BOUTIQUES
NATIONAL|0|99|POUBELLE
NATIONAL|1|1002|BOUCHERIE / VOLAILLE TRAD
NATIONAL|1|1004|CHARCUTERIE TRAD
NATIONAL|1|1006|TRAITEUR TRAD
NATIONAL|1|1007|KIOSQUE
NATIONAL|1|1008|PRODUITS DE LA MER TRAD
NATIONAL|1|1010|FROMAGE TRAD
NATIONAL|1|1012|BOUL PAT TRAD
NATIONAL|1|2020|BOUCHERIE LS
NATIONAL|1|2022|BOUCHERIE FRAIS EMB.
NATIONAL|1|2024|VOLAILLE LS
NATIONAL|1|2026|CHARCUTERIE TRAITEUR LS
NATIONAL|1|2028|SAURISSERIE
NATIONAL|1|2030|CREMERIE LS
NATIONAL|1|2032|PAIN PAT LS INDUS
NATIONAL|1|2034|FRUITS ET LEGUMES
NATIONAL|1|2036|FLEURS ET PLANTES
NATIONAL|1|2037|PANIER ANTIGASPI FRAIS
NATIONAL|1|2038|SURGELES
NATIONAL|1|2039|DESTOCKAGE/ANIMATION FRAIS LS
NATIONAL|1|4040|EPICERIE SUCREE
NATIONAL|1|4042|EPICERIE SALEE
NATIONAL|1|4043|PANIER ANTIGASPI SEC
NATIONAL|1|4044|ALIMENTS POUR ANIMAUX
NATIONAL|1|4046|LIQUIDES
NATIONAL|1|4048|D.P.H.
NATIONAL|1|4049|DESTOCKAGE/ANIMATION SEC LS
NATIONAL|1|5050|TEXTILE
NATIONAL|1|5052|CORNER CA
NATIONAL|1|5054|CORNERS ACCESSOIRES BIJOUX
NATIONAL|1|5055|DESTOCKAGE TEXTILE
NATIONAL|1|5058|ANIMATION TEXTILE
NATIONAL|1|6060|BAZAR LEGER
NATIONAL|1|6062|BAZAR TECHNIQUE
NATIONAL|1|6064|PRODUITS CULTURELS
NATIONAL|1|6065|DESTOCKAGE BAZAR
NATIONAL|1|6066|PRESTATION DE SERVICE
NATIONAL|1|6068|ANIMATION BAZAR
NATIONAL|1|7070|NON COMMERCIALE
NATIONAL|1|8080|BOUTIQUE STATION
NATIONAL|1|8082|BOUTIQUE PRESSE
NATIONAL|1|8084|BOUTIQUE KIOSQUE D OR
NATIONAL|1|8086|BOUTIQUE BISTROT
NATIONAL|1|8088|BOUTIQUE SERVICES
NATIONAL|1|8090|BOUTIQUE RELAIS MOUSQUETAIRES
NATIONAL|1|8092|BOUTIQUE LOCATION
NATIONAL|1|8094|BOUTIQUE PARAPHARMACIE
NATIONAL|1|8096|BOUTIQUE FLEURS
NATIONAL|1|9999|POUBELLE
NATIONAL|2|10020200|VIANDE BOVINE TRAD
NATIONAL|2|10020202|VEAU TR
NATIONAL|2|10020204|VIANDE PORCINE TRAD
NATIONAL|2|10020206|VIANDE OVINE TRAD
NATIONAL|2|10020208|VIANDE CHEVALINE TRAD
NATIONAL|2|10020210|TRIPERIE / ABATS TRAD
NATIONAL|2|10020212|PRODUITS ELABORES TR
NATIONAL|2|10020213|GIBIER BOUCHERIE TR
NATIONAL|2|10020214|BOUCHERIE TR/FE PDV
NATIONAL|2|10020220|VIANDE BOVINE FE PDV
NATIONAL|2|10020222|VEAU FE PDV
NATIONAL|2|10020224|VIANDE PORCINE FE PDV
NATIONAL|2|10020226|VIANDE OVINE FE PDV
NATIONAL|2|10020228|VIANDE CHEVALINE FE PDV
NATIONAL|2|10020230|TRIPERIE/ABATS FE PDV
NATIONAL|2|10020232|PRODUITS ELABORES FE PDV
NATIONAL|2|10020240|VOLAILLES TR
NATIONAL|2|10020242|NON AFFECTE
NATIONAL|2|10020243|VOLAILLE TRAD/FE PDV
NATIONAL|2|10020244|VOLAILLE FE PDV
NATIONAL|2|10020246|VOLAILLE FE IND
NATIONAL|2|10040400|CHARCUTERIE TR
NATIONAL|2|10040402|CHARCUTERIE FE PDV
NATIONAL|2|10040404|CHARCUTERIE FE INDUSTRIEL
NATIONAL|2|10060600|TRAITEUR TRAD
NATIONAL|2|10060602|TRAITEUR CHAUD
NATIONAL|2|10060604|ROTISSERIE ET PIZZAS
NATIONAL|2|10060606|TRAITEUR FRAIS EMBALLE PDV
NATIONAL|2|10060608|TRAITEUR FRAIS EMBALLE INDUS
NATIONAL|2|10070700|SUSHI
NATIONAL|2|10070702|WOK
NATIONAL|2|10070704|FRAICH DECOUP PRESTA
NATIONAL|2|10070706|BURGER
NATIONAL|2|10070708|TEX MEX
NATIONAL|2|10080800|PRODUITS DE LA MER FE PDV
NATIONAL|2|10080802|PRODUITS DE LA MER  TRAD
NATIONAL|2|10080804|PR DE LA MER FRAIS EMBALLE
NATIONAL|2|10101000|FROMAGE COUPE
NATIONAL|2|10101002|FROMAGE FRAIS EMBALLE PDV
NATIONAL|2|10101004|FROMAGE FRAIS EMBALLE IND
NATIONAL|2|10121200|PAINS LS PDV
NATIONAL|2|10121202|VIENNOISERIE LS PDV
NATIONAL|2|10121204|PAINS BLANCS / BOULANGERIE TR
NATIONAL|2|10121206|NON AFFECTE
NATIONAL|2|10121208|VIENNOISERIE TRAD
NATIONAL|2|10121210|PATISSERIE GEL TRAD
NATIONAL|2|10121212|PATISSERIE FRAICHE TRAD
NATIONAL|2|10121214|PATISSERIE GEL LS PDV
NATIONAL|2|10121216|PATISSERIE FRAICHE EMB LS PDV
NATIONAL|2|10121218|SNACKING
NATIONAL|2|10121220|BOISSONS
NATIONAL|2|20202000|ELABORES SAUCISSERIE LS
NATIONAL|2|20202002|STEACK HACHES LS
NATIONAL|2|20202004|UVC 21
NATIONAL|2|20222200|BOEUF FE IND
NATIONAL|2|20222202|VEAU FE IND
NATIONAL|2|20222204|PORC FE IND
NATIONAL|2|20222206|AGNEAU / MOUTON FE IND
NATIONAL|2|20222208|CHEVAL FE PDV
NATIONAL|2|20222210|TRIPERIE / ABATS FE IND
NATIONAL|2|20222212|ALIMENTATION POUR ANIMAUX
NATIONAL|2|20242400|VOLAILLES LS
NATIONAL|2|20262600|CHARCUTERIE LS ET SALAISON
NATIONAL|2|20262601|VRAC CHARCUTERIE
NATIONAL|2|20262602|CHARCUTERIE TRANCHEE AMBIANTE
NATIONAL|2|20262603|SAUCISSONS SAUCISSES SECHES
NATIONAL|2|20262604|TRAITEUR LS
NATIONAL|2|20262606|NON AFFECTE
NATIONAL|2|20282800|TRAITEUR DE LA MER LS IND
NATIONAL|2|20282802|VRAC TRAITEUR DE LA MER
NATIONAL|2|20303000|ULTRA FRAIS
NATIONAL|2|20303001|JUS ET BOISSONS FRAIS
NATIONAL|2|20303002|FROMAGE LS
NATIONAL|2|20303003|VRAC FROMAGE
NATIONAL|2|20303004|NON AFFECTE
NATIONAL|2|20303006|BEURRE LS
NATIONAL|2|20303008|MARGARINE/PATE A TARTINER
NATIONAL|2|20303009|VRAC CORPS GRAS
NATIONAL|2|20303010|CREMERIE FRAICHE
NATIONAL|2|20303011|VRAC LAIT
NATIONAL|2|20303012|LAIT LS
NATIONAL|2|20303013|CREMES UHT
NATIONAL|2|20303014|OEUFS
NATIONAL|2|20303015|VRAC OEUFS
NATIONAL|2|20303016|VRAC ULTRA FRAIS
NATIONAL|2|20303018|VRAC JUS ET BOISSONS FRAIS
NATIONAL|2|20323200|PAIN DE MIE ET ASSIMILES
NATIONAL|2|20323202|PATISSERIE LS TRADITIONNELLE
NATIONAL|2|20323203|PATISSERIE LS ELABOREE
NATIONAL|2|20323204|VIENNOISERIE LS INDUS
NATIONAL|2|20323206|PRODUITS POUR GARNIR
NATIONAL|2|20343400|FRUITS FRAIS
NATIONAL|2|20343402|LEGUMES FRAIS
