CODE|TYPE|SPECIFICATION|STORE_CODES|STORE_GROUP_CODES
PROMO_STORE_101|IMMEDIATE_VOUCHER|{"targetOfferClass": ["BasicOffer"], "targetEans": ["3000000000014"], "discountType": "PERCENTAGE", "value": 15.0}|0101|
PROMO_GROUP_NORD|FREE_DELIVERY_THRESHOLD|{"tiers": [{"threshold": 30.0, "value": 100.0, "type": "PERCENTAGE"}]}||REGION_NORTH
PROMO_2FOR1_3300|N+M|{"targetEans": ["3000000000014"], "quantityToPay": 1, "discountedQuantity": 1, "selectionStrategy": "CHEAPEST", "discountType": "PERCENTAGE", "discountValue": 100.0}|0101|
PROMO_COFFEE_PACK|MIXED_BUNDLE|{"bundlePrice": 4.50, "vatRate": 0.20, "contents": [{"ean": "3000000000045", "quantity": 1.0}, {"ean": "3000000000137", "quantity": 1.0, "substituteEans": ["3000000000144"]}]}|0101|
DELIVERY_HOME_0101|DELIVERY|{"tiers": [{"maxDistance": 8.0, "price": 5.90}, {"maxDistance": 16.0, "price": 9.90}], "vatRate": 0.20}|0101|
BRI_APPLES_DISCOUNT|IMMEDIATE_VOUCHER|{"targetOfferClass": ["BasicOffer", "MixedBundleOffer"], "targetEans": ["3000000000014"], "discountType": "FIXED_AMOUNT", "value": 0.10}|0101|
BASKET_CONSIGNMENT_0101|DEPOSIT_BASKET|{"basketVolume": 10.0, "basketPrice": 0.50, "vatRate": 0.20}|0101|
FREE_DELIVERY_THRESHOLD_0101|FREE_DELIVERY_THRESHOLD|{"tiers": [{"threshold": 10.0, "value": 50.0, "type": "FIXED_AMOUNT"}, {"threshold": 20.0, "value": 100.0, "type": "FIXED_AMOUNT"}]}|0101|
MEAL_VOUCHER_0101|MEAL_VOUCHER|{"flag": "RESTAURANT_VOUCHER_ELIGIBLE", "threshold": 25.00}|0101|
VIGNETTE_CUISSON|VIGNETTE_DISCOUNT|{"catalog": [{"ean": "3000000000311", "vignettesRequired": 5, "discount": {"type": "PERCENTAGE", "value": 50.0}}, {"ean": "3000000000328", "vignettesRequired": 3, "discount": {"type": "FIXED_AMOUNT", "value": 2.00}}]}|0101|
TIERED_RICE_0101|TIERED_DISCOUNT|{"scope": "ITEMS", "targetEans": ["3000000000229"], "metric": "AMOUNT", "mode": "HIGHEST_REACHED", "tiers": [{"threshold": 5.0, "award": {"type": "PERCENTAGE", "value": 5.0}}, {"threshold": 10.0, "award": {"type": "PERCENTAGE", "value": 10.0}}]}|0101|
VOUCHER_TICKET_0101|VOUCHER_GRANT|{"scope": "TICKET", "metric": "AMOUNT", "mode": "HIGHEST_REACHED", "tiers": [{"threshold": 50.0, "award": {"type": "PERCENTAGE", "value": 5.0}}, {"threshold": 100.0, "award": {"type": "PERCENTAGE", "value": 10.0}}], "usage": {"validityDays": 30, "minimumPurchase": 10.0}}|0101|
COUPON_POINTS_0101|COUPON_GRANT|{"scope": "TICKET", "metric": "AMOUNT", "mode": "PER_MULTIPLE", "unit": "POINTS", "every": {"step": 10.0, "award": {"type": "AMOUNT", "value": 1}}}|0101|
PROMO_BANANES_15|IMMEDIATE_VOUCHER|{"targetOfferClass": ["BasicOffer"], "targetEans": ["3000000010198"], "discountType": "PERCENTAGE", "value": 15.0}|0101|
PROMO_TARTINER_1E|IMMEDIATE_VOUCHER|{"targetOfferClass": ["BasicOffer"], "targetEans": ["3000000011805"], "discountType": "FIXED_AMOUNT", "value": 1.00}|0101|
PROMO_YAOURTS_3PLUS1|N+M|{"targetEans": ["3000000010808"], "quantityToPay": 3, "discountedQuantity": 1, "selectionStrategy": "CHEAPEST", "discountType": "PERCENTAGE", "discountValue": 100.0}|0101|
PROMO_PIZZA_2E|IMMEDIATE_VOUCHER|{"targetOfferClass": ["BasicOffer"], "targetEans": ["3000000012277"], "discountType": "FIXED_AMOUNT", "value": 2.00}|0101|
PROMO_PASTA_PACK|MIXED_BUNDLE|{"bundlePrice": 3.90, "vatRate": 0.055, "contents": [{"ean": "3000000011454", "quantity": 2.0}, {"ean": "3000000011720", "quantity": 1.0}]}|0101|
PROMO_BIERE_20|IMMEDIATE_VOUCHER|{"targetOfferClass": ["BasicOffer"], "targetEans": ["3000000012093"], "discountType": "PERCENTAGE", "value": 20.0}|0101|
PROMO_APERO_2FOR1|N+M|{"targetEans": ["3000000011652"], "quantityToPay": 1, "discountedQuantity": 1, "selectionStrategy": "CHEAPEST", "discountType": "PERCENTAGE", "discountValue": 100.0}|0101|
PROMO_COMTE_10|IMMEDIATE_VOUCHER|{"targetOfferClass": ["BasicOffer"], "targetEans": ["3000000010907"], "discountType": "PERCENTAGE", "value": 10.0}|0101|
PROMO_DOUCHE_30|IMMEDIATE_VOUCHER|{"targetOfferClass": ["BasicOffer"], "targetEans": ["3000000012451"], "discountType": "PERCENTAGE", "value": 30.0}|0101|
