EAN|STORE_CODE|PRICE_EXCL_TAX|PRICE_INCL_TAX|VAT_RATE|PRICE_USAGE|PRIORITY|START_DATE|END_DATE
0000000000005|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000007|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000010|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000011|0101|4.35|4.59|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000015|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000021|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000025|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000030|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000037|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000038|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000039|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000040|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000045|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000050|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000052|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000053|0101|0.00|0.00|0.2000|DEFAULT|0|2026-01-01T00:00:00|
0000000000055|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000060|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000068|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000080|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000081|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000092|0101|0.00|0.00|0.2000|DEFAULT|0|2026-01-01T00:00:00|
0000000000099|0101|10.40|12.48|0.2000|DEFAULT|0|2026-01-01T00:00:00|
0000000000100|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000107|0101|0.00|0.00|0.2000|DEFAULT|0|2026-01-01T00:00:00|
0000000000110|0101|0.00|0.00|0.2000|DEFAULT|0|2026-01-01T00:00:00|
0000000000116|0101|18.28|19.29|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000120|0101|0.00|0.00|0.2000|DEFAULT|0|2026-01-01T00:00:00|
0000000000123|0101|0.00|0.00|0.2000|DEFAULT|0|2026-01-01T00:00:00|
0000000000140|0101|0.00|0.00|0.2000|DEFAULT|0|2026-01-01T00:00:00|
0000000000170|0101|0.00|0.00|0.2000|DEFAULT|0|2026-01-01T00:00:00|
0000000000184|0101|0.00|0.00|0.2000|DEFAULT|0|2026-01-01T00:00:00|
0000000000200|0101|0.33|0.35|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000202|0101|3.18|3.35|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000269|0101|13.57|14.93|0.1000|DEFAULT|0|2026-01-01T00:00:00|
0000000000404|0101|2.37|2.50|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000505|0101|1.18|1.24|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000606|0101|2.37|2.50|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000707|0101|2.11|2.23|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000790|0101|1.41|1.49|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000000920|0101|1.77|1.87|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000001004|0101|3.59|3.79|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000001005|0101|13.26|13.99|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000001010|0101|3.78|3.99|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000001111|0101|4.64|4.89|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000001122|0101|0.00|0.00|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000001212|0101|7.57|7.99|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000001214|0101|1.13|1.19|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000001234|0101|0.47|0.50|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000001313|0101|2.98|3.14|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000001515|0101|1.89|1.99|0.0550|DEFAULT|0|2026-01-01T00:00:00|
0000000002001|0101|0.81|0.85|0.0550|DEFAULT|0|2026-01-01T00:00:00|
