EAN|STORE_CODE|PRICE_EXCL_TAX|PRICE_INCL_TAX|VAT_RATE|PRICE_USAGE|PRIORITY|START_DATE|END_DATE
3000000000014|0101|1.00|1.20|0.2000|DEFAULT|0|2026-01-12T00:00:00|
3000000000014|0101|1.10|1.32|0.2000|BASE_FOR_DISCOUNT|0|2026-01-12T00:00:00|
3000000000014|0101|0.90|1.08|0.2000|DEFAULT|1|2026-01-12T00:00:00|
3000000000014|0101|0.99|1.19|0.2000|BASE_FOR_DISCOUNT|1|2026-01-12T00:00:00|
3000000000021|0101|2.50|3.00|0.2000|DEFAULT|0|2026-01-12T00:00:00|
3000000000021|0101|2.75|3.30|0.2000|BASE_FOR_DISCOUNT|0|2026-01-12T00:00:00|
3000000000021|0101|2.30|2.76|0.2000|DEFAULT|1|2026-01-12T00:00:00|
3000000000021|0101|2.53|3.04|0.2000|BASE_FOR_DISCOUNT|1|2026-01-12T00:00:00|
3000000000038|0101|0.80|0.96|0.2000|DEFAULT|0|2026-01-12T00:00:00|
3000000000038|0101|0.88|1.06|0.2000|BASE_FOR_DISCOUNT|0|2026-01-12T00:00:00|
3000000000045|0101|3.50|4.20|0.2000|DEFAULT|0|2026-01-12T00:00:00|
3000000000045|0101|3.85|4.62|0.2000|BASE_FOR_DISCOUNT|0|2026-01-12T00:00:00|
3000000000052|0101|1.20|1.44|0.2000|DEFAULT|0|2026-01-12T00:00:00|
3000000000052|0101|1.32|1.58|0.2000|BASE_FOR_DISCOUNT|0|2026-01-12T00:00:00|
3000000000069|0101|5.00|6.00|0.2000|DEFAULT|0|2026-01-12T00:00:00|
3000000000069|0101|5.50|6.60|0.2000|BASE_FOR_DISCOUNT|0|2026-01-12T00:00:00|
3000000000076|0101|0.50|0.60|0.2000|DEFAULT|0|2026-01-12T00:00:00|
3000000000076|0101|0.55|0.66|0.2000|BASE_FOR_DISCOUNT|0|2026-01-12T00:00:00|
3000000000083|0101|2.00|2.40|0.2000|DEFAULT|0|2026-01-12T00:00:00|
3000000000083|0101|2.20|2.64|0.2000|BASE_FOR_DISCOUNT|0|2026-01-12T00:00:00|
3000000000090|0101|2.50|3.00|0.2000|DEFAULT|0|2026-01-12T00:00:00|
3000000000090|0101|2.75|3.30|0.2000|BASE_FOR_DISCOUNT|0|2026-01-12T00:00:00|
3000000000106|0101|1.50|1.80|0.2000|DEFAULT|0|2026-01-12T00:00:00|
3000000000106|0101|1.65|1.98|0.2000|BASE_FOR_DISCOUNT|0|2026-01-12T00:00:00|
