EAN|LEVEL1|LEVEL2|LEVEL3|LEVEL4|LEVEL5
0000000000005|FRAIS TRAD|BOUCHERIE / VOLAILLE TRAD|VIANDE BOVINE TRAD||
0000000000007|FRAIS TRAD|BOUCHERIE / VOLAILLE TRAD|VOLAILLES TR||
0000000000010|FRAIS TRAD|CHARCUTERIE TRAD|CHARCUTERIE TR||
0000000000011|FRAIS LS|FRUITS ET LEGUMES|FRUITS FRAIS|FRUITS FRAIS|
0000000000015|FRAIS TRAD|FROMAGE TRAD|FROMAGE COUPE||
0000000000021|FRAIS TRAD|BOUL PAT TRAD|PAINS BLANCS / BOULANGERIE TR||
0000000000025|FRAIS TRAD|PRODUITS DE LA MER TRAD|PRODUITS DE LA MER  TRAD||
0000000000030|FRAIS LS|CREMERIE LS|ULTRA FRAIS||
0000000000037|FRAIS LS|SURGELES|SURGELES POISSONS||
0000000000038|FRAIS LS|CHARCUTERIE TRAITEUR LS|TRAITEUR LS||
0000000000039|FRAIS LS|SAURISSERIE|TRAITEUR DE LA MER LS IND||
0000000000040|FRAIS LS|CHARCUTERIE TRAITEUR LS|CHARCUTERIE LS ET SALAISON||
0000000000045|FRAIS TRAD|BOUCHERIE / VOLAILLE TRAD|VIANDE BOVINE FE PDV||
0000000000050|FRAIS LS|FRUITS ET LEGUMES|F/L FRAIS EMBALLE||
0000000000052|BAZAR|BAZAR LEGER|JARDINAGE|VEGETAUX|
0000000000053|BAZAR|BAZAR LEGER|JARDINAGE|VEGETAUX|
0000000000055|FRAIS LS|VOLAILLE LS|VOLAILLES LS||
0000000000060|FRAIS LS|PAIN PAT LS INDUS|PATISSERIE LS TRADITIONNELLE||
0000000000068|SEC LS|EPICERIE SUCREE|AIDE PATISSERIE DESSERT|PRODUITS POUR LA PATISSERIE|
0000000000080|SEC LS|EPICERIE SUCREE|EPICERIE FINE||
0000000000081|FRAIS LS|BOUCHERIE LS|ELABORES SAUCISSERIE LS|PRODUITS ELABORES LS|
0000000000092|SEC LS|ALIMENTS POUR ANIMAUX|ALIMENTS POUR CHIENS||
0000000000099|SEC LS|LIQUIDES|VIN DE PAYS|VIN DE PAYS STANDARD ROUGE|
0000000000100|SEC LS|LIQUIDES|BOISSONS GAZEUSES ET PLATES||
0000000000107|SEC LS|LIQUIDES|FOIRE AUX VINS||
0000000000110|SEC LS|LIQUIDES|APERITIFS ALCOOLS||
0000000000116|FRAIS LS|FRUITS ET LEGUMES|FRUITS FRAIS|FRUITS FRAIS|
0000000000120|BAZAR|BAZAR LEGER|VAISSELLE A JETER||
0000000000123|SEC LS|EPICERIE SALEE|PRODUITS DU MONDE||
0000000000140|BAZAR|BAZAR LEGER|JARDINAGE||
0000000000170|TEXTILE|TEXTILE|MERCERIE||
0000000000184|TEXTILE|TEXTILE|CHAUSSANT HOMME||
0000000000200|FRAIS TRAD|BOUL PAT TRAD|PAINS BLANCS / BOULANGERIE TR|PAINS BLANCS TRAD|
0000000000202|FRAIS LS|FRUITS ET LEGUMES|LEGUMES FRAIS|LEGUMES FRAIS|
0000000000269|FRAIS LS|FLEURS ET PLANTES|FLEURS COUPEES||
0000000000404|FRAIS LS|FRUITS ET LEGUMES|FRUITS FRAIS|FRUITS FRAIS|
0000000000505|FRAIS LS|FRUITS ET LEGUMES|FRUITS FRAIS|FRUITS FRAIS|
