EAN|LEVEL1|LEVEL2|LEVEL3|LEVEL4|LEVEL5
3000000000014|Food|Fresh|Fruits & Vegetables|Local|Organic
3000000000021|Food|Fresh|Fruits & Vegetables|Local|Organic
3000000000038|Food|Fresh|Bakery|Traditional|Baguettes
3000000000045|Food|Pantry|Beverages|Hot|Coffee
3000000000052|Food|Pantry|Groceries|Pasta|Italy
3000000000069|Food|Pantry|Oils & Vinegars|Olive|Extra Virgin
3000000000076|Food|Pantry|Beverages|Cold|Water
3000000000083|Food|Fresh|Deli|Meats|Hams
3000000000090|Food|Fresh|Dairy|Butter|Spreadable
3000000000106|Food|Fresh|Dairy|Yogurts|Fruit
3000000000113|Food|Pantry|Beverages|Sodas|Cola
3000000000120|Food|Pantry|Beverages|Sodas|Orange Juice
3000000000137|Food|Pantry|Snacks|Biscuits|Chocolate
3000000000144|Food|Pantry|Snacks|Crisps|Classic
3000000000151|Food|Pantry|Sauces|Tomato|Bolognaise
3000000000168|Food|Pantry|Groceries|Potatoes|Flakes
3000000000175|Food|Fresh|Fruits & Vegetables|Vegetables|Cucumber
3000000000182|Food|Fresh|Fruits & Vegetables|Vegetables|Tomatoes
3000000000199|Food|Fresh|Dairy|Eggs|Farm
3000000000205|Food|Fresh|Meat|Poultry|Roasted
3000000000212|Food|Fresh|Seafood|Fish|Smoked
3000000000229|Food|Pantry|Groceries|Rice|Long Grain
3000000000236|Food|Pantry|Groceries|Legumes|Green
3000000000243|Food|Pantry|Groceries|Honey|Acacia
3000000000250|Household|Cleaning|Liquids|Detergent|
3000000000267|Household|Cleaning|Sponges|Kitchen|
3000000000274|Health & Beauty|Hair|Accessories|Cotton|Pads
3000000000281|Electronics|Small Appliances|Batteries|AA|
3000000000298|Food|Pantry|Confectionery|Gum|Mint
3000000000304|Health & Beauty|Toothpaste|Oral Care|Mint|
3000000010013|Food|Fresh|Fruits & Vegetables|Citrus|
3000000010020|Food|Fresh|Fruits & Vegetables|Citrus|
3000000010037|Food|Fresh|Fruits & Vegetables|Citrus|
3000000010044|Food|Fresh|Fruits & Vegetables|Citrus|
3000000010051|Food|Fresh|Fruits & Vegetables|Citrus|
3000000010068|Food|Fresh|Fruits & Vegetables|Citrus|
3000000010075|Food|Fresh|Fruits & Vegetables|Citrus|
3000000010082|Food|Fresh|Fruits & Vegetables|Citrus|
3000000010099|Food|Fresh|Fruits & Vegetables|Citrus|
3000000010105|Food|Fresh|Fruits & Vegetables|Citrus|
3000000010112|Food|Fresh|Fruits & Vegetables|Berries|
3000000010129|Food|Fresh|Fruits & Vegetables|Berries|
3000000010136|Food|Fresh|Fruits & Vegetables|Berries|
3000000010143|Food|Fresh|Fruits & Vegetables|Berries|
3000000010150|Food|Fresh|Fruits & Vegetables|Berries|
3000000010167|Food|Fresh|Fruits & Vegetables|Berries|
3000000010174|Food|Fresh|Fruits & Vegetables|Berries|
3000000010181|Food|Fresh|Fruits & Vegetables|Berries|
3000000010198|Food|Fresh|Fruits & Vegetables|Exotic|
3000000010204|Food|Fresh|Fruits & Vegetables|Exotic|
3000000010211|Food|Fresh|Fruits & Vegetables|Exotic|
3000000010228|Food|Fresh|Fruits & Vegetables|Exotic|
3000000010235|Food|Fresh|Fruits & Vegetables|Exotic|
3000000010242|Food|Fresh|Fruits & Vegetables|Exotic|
3000000010259|Food|Fresh|Fruits & Vegetables|Exotic|
3000000010266|Food|Fresh|Fruits & Vegetables|Exotic|
3000000010273|Food|Fresh|Fruits & Vegetables|Exotic|
3000000010280|Food|Fresh|Fruits & Vegetables|Exotic|
3000000010297|Food|Fresh|Fruits & Vegetables|Orchard|
3000000010303|Food|Fresh|Fruits & Vegetables|Orchard|
3000000010310|Food|Fresh|Fruits & Vegetables|Orchard|
3000000010327|Food|Fresh|Fruits & Vegetables|Orchard|
3000000010334|Food|Fresh|Fruits & Vegetables|Orchard|
3000000010341|Food|Fresh|Fruits & Vegetables|Orchard|
3000000010358|Food|Fresh|Fruits & Vegetables|Orchard|
3000000010365|Food|Fresh|Fruits & Vegetables|Orchard|
3000000010372|Food|Fresh|Fruits & Vegetables|Orchard|
3000000010389|Food|Fresh|Fruits & Vegetables|Orchard|
3000000010396|Food|Fresh|Fruits & Vegetables|Salads|
3000000010402|Food|Fresh|Fruits & Vegetables|Salads|
3000000010419|Food|Fresh|Fruits & Vegetables|Salads|
3000000010426|Food|Fresh|Fruits & Vegetables|Salads|
3000000010433|Food|Fresh|Fruits & Vegetables|Salads|
3000000010440|Food|Fresh|Fruits & Vegetables|Salads|
3000000010457|Food|Fresh|Fruits & Vegetables|Salads|
3000000010464|Food|Fresh|Fruits & Vegetables|Salads|
3000000010471|Food|Fresh|Fruits & Vegetables|Salads|
3000000010488|Food|Fresh|Fruits & Vegetables|Salads|
3000000010495|Food|Fresh|Fruits & Vegetables|Heritage|
3000000010501|Food|Fresh|Fruits & Vegetables|Heritage|
3000000010518|Food|Fresh|Fruits & Vegetables|Heritage|
3000000010525|Food|Fresh|Fruits & Vegetables|Heritage|
3000000010532|Food|Fresh|Fruits & Vegetables|Heritage|
3000000010549|Food|Fresh|Fruits & Vegetables|Heritage|
3000000010556|Food|Fresh|Fruits & Vegetables|Heritage|
3000000010563|Food|Fresh|Fruits & Vegetables|Heritage|
3000000010570|Food|Fresh|Fruits & Vegetables|Heritage|
3000000010587|Food|Fresh|Fruits & Vegetables|Heritage|
3000000010594|Food|Fresh|Fruits & Vegetables|Mediterranean|
3000000010600|Food|Fresh|Fruits & Vegetables|Mediterranean|
3000000010617|Food|Fresh|Fruits & Vegetables|Mediterranean|
3000000010624|Food|Fresh|Fruits & Vegetables|Mediterranean|
3000000010631|Food|Fresh|Fruits & Vegetables|Mediterranean|
3000000010648|Food|Fresh|Fruits & Vegetables|Mediterranean|
3000000010655|Food|Fresh|Fruits & Vegetables|Mediterranean|
3000000010662|Food|Fresh|Fruits & Vegetables|Mediterranean|
3000000010679|Food|Fresh|Fruits & Vegetables|Mediterranean|
3000000010686|Food|Fresh|Fruits & Vegetables|Mediterranean|
3000000010693|Food|Fresh|Dairy|Milk & Eggs|
3000000010709|Food|Fresh|Dairy|Milk & Eggs|
3000000010716|Food|Fresh|Dairy|Milk & Eggs|
3000000010723|Food|Fresh|Dairy|Milk & Eggs|
3000000010730|Food|Fresh|Dairy|Milk & Eggs|
3000000010747|Food|Fresh|Dairy|Milk & Eggs|
3000000010754|Food|Fresh|Dairy|Milk & Eggs|
3000000010761|Food|Fresh|Dairy|Milk & Eggs|
3000000010778|Food|Fresh|Dairy|Milk & Eggs|
3000000010785|Food|Fresh|Dairy|Milk & Eggs|
3000000010792|Food|Fresh|Dairy|Yogurts|
3000000010808|Food|Fresh|Dairy|Yogurts|
