CODE|DESCRIPTION|FLAGS|PRODUCT_EANS|SUBFAMILY_CODES
10|FRAIS TRAD|||1002,1004,1010,1012,1008,1006
20|FRAIS LS|||2034,2030,2038,2026,2028,2024,2032,2020,2036,2022,2039
40|SEC LS|||4040,4044,4046,4042,4048,4049
50|TEXTILE|||5050,5055
60|BAZAR|||6060,6066,6062,6064,6065,6068
70|NON COMMERCIALE|||7070
1002|BOUCHERIE / VOLAILLE TRAD|||10020200,10020240,10020220,10020222,10020204,10020226,10020228,10020202,10020224,10020244,10020206,10020208,10020210,10020212,10020242,10020232,10020230,10020213,10020214,10020243,10020246
1004|CHARCUTERIE TRAD|||10040400,10040404,10040402
1006|TRAITEUR TRAD|||10060600,10060608,10060604,10060606
1008|PRODUITS DE LA MER TRAD|||10080802,10080804,10080800
1010|FROMAGE TRAD|||10101000,10101004,10101002
1012|BOUL PAT TRAD|||10121204,10121208,10121218,10121202,10121200,10121212,10121210,10121214,10121206,10121216
2020|BOUCHERIE LS|||20202000,20202004,20202002
2022|BOUCHERIE FRAIS EMB.|||20222204,20222202,20222200,20222206,20222210,20222212,20222208
2024|VOLAILLE LS|||20242400
2026|CHARCUTERIE TRAITEUR LS|||20262604,20262600,20262603,20262601,20262602,20262606
2028|SAURISSERIE|||20282800,20282802
2030|CREMERIE LS|||20303000,20303002,20303001,20303006,20303008,20303010,20303012,20303003,20303004,20303009,20303011,20303013,20303014,20303016,20303018
2032|PAIN PAT LS INDUS|||20323202,20323200,20323204,20323203,20323206
2034|FRUITS ET LEGUMES|||20343400,20343404,20343402,20343408,20343406,20343405,20343407,20343410
2036|FLEURS ET PLANTES|||20363600,20363604,20363602
2038|SURGELES|||20383802,20383808,20383800,20383804,20383806,20383810,20383812,20383814
2039|DESTOCKAGE/ANIMATION FRAIS LS|||20393900
4040|EPICERIE SUCREE|||40404020,40404034,40404046,40404038,40404014,40404015,40404013,40404026,40404002,40404016,40404008,40404012,40404000,40404004,40404006,40404010,40404018,40404022,40404024,40404028,40404030,40404032,40404040,40404036
4042|EPICERIE SALEE|||40424200,40424234,40424210,40424224,40424220,40424209,40424206,40424230,40424204,40424202,40424208,40424211,40424212,40424214,40424216,40424218,40424219,40424222,40424226,40424228,40424236,40424232
4044|ALIMENTS POUR ANIMAUX|||40444400,40444402,40444404,40444406,40444408,40444410,40444412,40444418,40444416,40444414
4046|LIQUIDES|||40464607,40464600,40464614,40464616,40464606,40464601,40464622,40464602,40464608,40464603,40464604,40464605,40464609,40464610,40464612,40464618,40464620,40464624,40464625,40464626,40464628
4048|D.P.H.|||40484802,40484826,40484818,40484816,40484812,40484813,40484800,40484824,40484803,40484804,40484806,40484808,40484809,40484810,40484814,40484820,40484822,40484828,40484817,40484832
4049|DESTOCKAGE/ANIMATION SEC LS|||40494900
