CODE|DESCRIPTION|FLAGS|PRODUCT_EANS|SUBFAMILY_CODES
POMMES|Pommes à croquer|TRADITIONAL,RESTAURANT_VOUCHER_ELIGIBLE|3000000000014,3000000000045|
RACINES|Légumes racines||3000000000175,3000000000182||
FRUITS|Rayon Fruits|FRUITS_VEGETABLES|||POMMES
LEGUMES|Rayon Légumes|FRUITS_VEGETABLES|||RACINES
EAU_MINERALE|Eaux Minérales|RESTAURANT_VOUCHER_ELIGIBLE|3000000000076|
SODAS|Sodas||3000000000113,3000000000120||
BOISSONS|Rayon Boissons||||EAU_MINERALE,SODAS
ALIMENTAIRE|Rayon Alimentaire||||FRUITS,LEGUMES,BOISSONS
CUISSON|Instruments de Cuisine||3000000000311,3000000000328,3000000000335|
AGRUMES|Agrumes|TRADITIONAL,RESTAURANT_VOUCHER_ELIGIBLE|3000000010013,3000000010020,3000000010037,3000000010044,3000000010051,3000000010068,3000000010075,3000000010082,3000000010099,3000000010105|
FRUITS_ROUGES|Fruits rouges|TRADITIONAL,RESTAURANT_VOUCHER_ELIGIBLE|3000000010112,3000000010129,3000000010136,3000000010143,3000000010150,3000000010167,3000000010174,3000000010181|
FRUITS_EXOTIQUES|Fruits exotiques|TRADITIONAL|3000000010198,3000000010204,3000000010211,3000000010228,3000000010235,3000000010242,3000000010259,3000000010266,3000000010273,3000000010280|
VERGER|Fruits du verger|TRADITIONAL|3000000010297,3000000010303,3000000010310,3000000010327,3000000010334,3000000010341,3000000010358,3000000010365,3000000010372,3000000010389|
SALADES|Salades et herbes|TRADITIONAL,RESTAURANT_VOUCHER_ELIGIBLE|3000000010396,3000000010402,3000000010419,3000000010426,3000000010433,3000000010440,3000000010457,3000000010464,3000000010471,3000000010488|
LEGUMES_ANCIENS|Légumes anciens|TRADITIONAL|3000000010495,3000000010501,3000000010518,3000000010525,3000000010532,3000000010549,3000000010556,3000000010563,3000000010570,3000000010587|
LEGUMES_RATATOUILLE|Légumes du soleil|TRADITIONAL,RESTAURANT_VOUCHER_ELIGIBLE|3000000010594,3000000010600,3000000010617,3000000010624,3000000010631,3000000010648,3000000010655,3000000010662,3000000010679,3000000010686|
LAITS_OEUFS|Laits et oeufs|RESTAURANT_VOUCHER_ELIGIBLE|3000000010693,3000000010709,3000000010716,3000000010723,3000000010730,3000000010747,3000000010754,3000000010761,3000000010778,3000000010785|
YAOURTS_DESSERTS|Yaourts et desserts|RESTAURANT_VOUCHER_ELIGIBLE|3000000010792,3000000010808,3000000010815,3000000010822,3000000010839,3000000010846,3000000010853,3000000010860,3000000010877,3000000010884|
FROMAGES|Fromages|TRADITIONAL,RESTAURANT_VOUCHER_ELIGIBLE|3000000010891,3000000010907,3000000010914,3000000010921,3000000010938,3000000010945,3000000010952,3000000010969,3000000010976,3000000010983,3000000010990,3000000011003|
VOLAILLE|Volaille|TRADITIONAL|3000000011010,3000000011027,3000000011034,3000000011041,3000000011058,3000000011065,3000000011072,3000000011089|
BOEUF_PORC|Boeuf et porc|TRADITIONAL|3000000011096,3000000011102,3000000011119,3000000011126,3000000011133,3000000011140,3000000011157,3000000011164,3000000011171,3000000011188|
CHARCUTERIE|Charcuterie|TRADITIONAL|3000000011195,3000000011201,3000000011218,3000000011225,3000000011232,3000000011249,3000000011256,3000000011263|
POISSONNERIE|Poissonnerie|TRADITIONAL|3000000011270,3000000011287,3000000011294,3000000011300,3000000011317,3000000011324,3000000011331,3000000011348|
PAINS|Pains et viennoiseries|TRADITIONAL,RESTAURANT_VOUCHER_ELIGIBLE|3000000011355,3000000011362,3000000011379,3000000011386,3000000011393,3000000011409,3000000011416,3000000011423,3000000011430,3000000011447|
PATES_RIZ|Pâtes, riz et féculents|RESTAURANT_VOUCHER_ELIGIBLE|3000000011454,3000000011461,3000000011478,3000000011485,3000000011492,3000000011508,3000000011515,3000000011522,3000000011539,3000000011546,3000000011553,3000000011560|
CONSERVES|Conserves et bocaux|RESTAURANT_VOUCHER_ELIGIBLE|3000000011577,3000000011584,3000000011591,3000000011607,3000000011614,3000000011621,3000000011638,3000000011645,3000000011652,3000000011669|
SAUCES_CONDIMENTS|Sauces et condiments|RESTAURANT_VOUCHER_ELIGIBLE|3000000011676,3000000011683,3000000011690,3000000011706,3000000011713,3000000011720,3000000011737,3000000011744,3000000011751,3000000011768|
PETIT_DEJEUNER|Petit déjeuner|RESTAURANT_VOUCHER_ELIGIBLE|3000000011775,3000000011782,3000000011799,3000000011805,3000000011812,3000000011829,3000000011836,3000000011843,3000000011850,3000000011867,3000000011874,3000000011881|
