EAN|NAME|DESCRIPTION|BRAND|REFERENCE_WEIGHT|REFERENCE_VOLUME|PRODUCT_TYPE|UNIT_NAME|ACTIVE|PLU|ICON|FORBIDDEN_TO_SALE|VARIABLE_WEIGHT
0000000000005|BOUCHERIE TR|BOUCHERIE TR||||UNIT||true|||false|false
0000000000007|VOLAILLE TR|VOLAILLE TR||||UNIT||true|||false|false
0000000000010|CHARCUTERIE TR|CHARCUTERIE TR||||UNIT||true|||false|false
0000000000011|POIRE ANGELYS VRAC|POIRE ANGELYS VRAC||1.000||WEIGHT|kg|true|11||false|true
0000000000015|FROMAGE COUPE|FROMAGE COUPE||||UNIT||true|||false|false
0000000000021|BOUL'PAT TR|BOUL'PAT TR||||UNIT||true|||false|false
0000000000025|POISSONNERIE TR|POISSONNERIE TR||||UNIT||true|||false|false
0000000000030|CREMERIE LS|CREMERIE LS||||UNIT||true|||false|false
0000000000037|SURGELES|SURGELES||||UNIT||true|||false|false
0000000000038|TRAITEUR LS|TRAITEUR LS||||UNIT||true|||false|false
0000000000039|SAURISSERIE|SAURISSERIE||||UNIT||true|||false|false
0000000000040|CHARCUTERIE LS|CHARCUTERIE LS||||UNIT||true|||false|false
0000000000045|BOUCHERIE LS|BOUCHERIE LS||||UNIT||true|||false|false
0000000000050|FRUITS ET LEGUMES|FRUITS ET LEGUMES||||UNIT||true|||false|false
0000000000052|HORTICOLE 5.5 %|HORTICOLE 5.5 %||||UNIT||true|||false|false
0000000000053|HORTICOLE 20.6 %|HORTICOLE 20.6 %||||UNIT||true|||false|false
0000000000055|VOLAILLES LS|VOLAILLES LS||||UNIT||true|||false|false
0000000000060|PATISSERIE INDUS|PATISSERIE INDUS||||UNIT||true|||false|false
0000000000068|CONFISERIE|Bicarbonate alimentaire 250 g||||UNIT||true|||false|false
0000000000080|EPICERIE|EPICERIE||||UNIT||true|||false|false
0000000000081|PAPETERIE / JOURNAL|PAPETERIE||||UNIT||true|||false|false
0000000000092|PRODUITS ANIMAUX|PRODUITS ANIMAUX||||UNIT||true|||false|false
0000000000099|ST BRIS ANTUNES 2017|ST BRIS DOMAINE ANTUNES 2017||||UNIT|L|true|||false|false
0000000000100|LIQUIDES 5.5 %|LIQUIDES 5.5 %||||UNIT||true|||false|false
0000000000107|LIQUIDES 20.6 %|LIQUIDES 20.6 %||||UNIT||true|||false|false
0000000000110|ALCOOLS|ALCOOLS||||UNIT||true|||false|false
0000000000116|MANGUE SAUVAGE|MANGUE SAUVAGE||1.000||WEIGHT||true|116||false|true
0000000000120|DPH|DPH||||UNIT||true|||false|false
0000000000123|EPICERIE SALEE|EPICERIE SALEE||||UNIT||true|||false|false
0000000000140|CONFORT MAISON|CONFORT MAISON||||UNIT||true|||false|false
0000000000170|TEXTILE|TEXTILE||||UNIT||true|||false|false
0000000000184|CHAUSSURES|CHAUSSURES||||UNIT||true|||false|false
0000000000200|BAGUETTE PRECUITE /200G C|BAGUETTE||||UNIT|kg|true|||false|false
0000000000202|LOT DE 3 CONCOMBRES|LOT DE 3 CONCOMBRES||||UNIT||true|||false|false
0000000000269|BOUQUET BULLE 20 ROSES +|BOUQUET BULLE 20 ROSES + AUTRE||||UNIT||true|||false|false
0000000000404|POMME PROMOTION LA JOYA|POMME PROMOTION LA JOYA||||UNIT|kg|true|||false|false
0000000000505|LOT DE 3  POMELOS|LOT DE  POMELOS3||||UNIT||true|||false|false
0000000000606|POT HERBES AROMATIQUES|POT HERBES AROMATIQUES||||UNIT||true|||false|false
0000000000707|LOT DE DEUX CONCOMBRES|LOT DE 2 CONCOMBRES||||UNIT||true|||false|false
0000000000790|MENTHE VERTE NATURE URBAI|MENTHE VERTE NATURE URBAINE||||UNIT||true|||false|false
0000000000920|SAUGE NATURE URBAINE|SAUGE NATURE URBAINE||||UNIT|kg|true|||false|false
0000000001004|CHAYOTTE|CHAYOTTE VRAC||1.000||WEIGHT|kg|true|1004||false|true
0000000001005|PIMENT ANTILLAIS|PIMENT ANTILLAIS VRAC||1.000||WEIGHT|kg|true|1005||false|true
0000000001010|LOT DE 2 MELONS|LOT DE 2 MELON||||UNIT||true|||false|false
0000000001111|RHUBARBE VRAC|RHUBARBE VRAC||1.000||WEIGHT|kg|true|1111||false|true
0000000001122|panierF&L promo|panierF&L promo||||UNIT|kg|true|||false|false
0000000001212|ASSORTIMENT FRUITS SECS|ASSORTIMENT FRUITS SECS||1.000||WEIGHT|kg|true|1212||false|true
0000000001214|MAXI PAIN AU CHOCOLAT PAC|MAXI PAIN AU CHOCOLAT||||UNIT|kg|true|||false|false
0000000001234|KIWI VERT PETIT|KIWI VERT PETIT||||UNIT||true|||false|false
0000000001313|LOT DE 3  MELONS|LOT DE 3 MELONS||||UNIT||true|||false|false
0000000001515|LOT DE 2 SALADES|LOT DE 2 SALADES||||UNIT|kg|true|||false|false
0000000002001|CROISSANT VRAC|CROISSANT VRAC||||UNIT||true|||false|false
0000000002002|PAIN AU CHOCOLAT VRAC|PAIN AU CHOCOLAT VRAC||||UNIT||true|||false|false
0000000002003|PAIN AUX RAISINS VRAC|PAIN AUX RAISINS VRAC||||UNIT|kg|true|||false|false
0000000002004|CHAUSSON AUX POMME VRAC|CHAUSSON AUX POMME VRAC||||UNIT|kg|true|||false|false
0000000002005|TORSADE AUX CHOCOLAT VRAC|TORSADE AUX CHOCOLAT VRAC||||UNIT|kg|true|||false|false
0000000002010|POIREAU BARQUETTE|POIREAU BARQUETTE||||UNIT||true|||false|false
0000000002011|HARICOT VERT COCO|HARICOT VERT COCO||1.000||WEIGHT|kg|true|2011||false|true
0000000002018|ARTICHAUT BOUQUET VIOLET|ARTICHAUT BOUQUET VIOLET||||UNIT||true|||false|false
0000000002020|TAMARIN|TAMARIN||1.000||WEIGHT|kg|true|2020||false|true
0000000002025|TOMATE COEUR DE PIGEON VR|TOMATE COEUR DE PIGEON VRAC||||UNIT|kg|true|||false|false
0000000002035|THYM/LAURIER|THYM/LAURIER||||UNIT||true|||false|false
0000000002045|MINI CONCOMBRE|MINI CONCOMBRE||||UNIT|kg|true|||false|false
0000000002252|PECHE JAUNE BARQUETTE|PECHE JAUNE BARQUETTE||||UNIT||true|||false|false
0000000002412|MINI BUCHETTES X 4|MINI BUCHETTES X 4||||UNIT|kg|true|||false|false
0000000003000|CHAMPIGNON CHANTERELLE JA|CHAMPIGNON CHANTERELLE JAUNE V||1.000||WEIGHT|kg|true|3000||false|true
0000000003002|POMME ANTARES VRAC|POMME ANTARES||1.000||WEIGHT|kg|true|3002||false|true
0000000003004|POMME MMP DELISDOR VRAC|POMME DELISDOR VRAC||1.000||WEIGHT|kg|true|3004||false|true
0000000003005|POMME DELISDOR VRAC STAND|POMME DE TERRE DE CONSOMMATION||1.000||WEIGHT|kg|true|3005||false|true
0000000003009|POMME MMP CANADA VRAC|POMME CANADA VRAC||1.000||WEIGHT|kg|true|3009||false|true
0000000003010|POMME JOYA VRAC|POMME JOYA VRAC||||UNIT|kg|true|||false|false
0000000003011|POMME JOYA VRAC|POMME JOYA VRAC||1.000||WEIGHT|kg|true|3011||false|true
0000000003012|POIRE ABATE VRAC|POIRE ABATE VRAC||1.000||WEIGHT|kg|true|3012||false|true
0000000003013|POIRE BEURRE HARDY VRAC|POIRE BEURRE HARDY VRAC||1.000||WEIGHT|kg|true|3013||false|true
0000000003015|POIRE ANGELYS VRAC|POIRE ANGELYS VRAC||1.000||WEIGHT|kg|true|3015||false|true
0000000003017|POIRE CONFERENCE VRAC|POIRE CONFERENCE VRAC||1.000||WEIGHT|kg|true|3017||false|true
0000000003019|POIRE FORELLE VRAC|POIRE FORELLE VRAC||1.000||WEIGHT|kg|true|3019||false|true
0000000003021|POIRE GUYOT VRAC|POIRE GUYOT VRAC||1.000||WEIGHT|kg|true|3021||false|true
0000000003024|POIRE ROCHAS VRAC|POIRE ROCHA VRAC||1.000||WEIGHT|kg|true|3024||false|true
0000000003029|CLEMENTINE RUBY|CLEMENTINE RUBY||1.000||WEIGHT|kg|true|3029||false|true
0000000003031|MINEOLAS VRAC|MINEOLAS VRAC||1.000||WEIGHT|kg|true|3031||false|true
0000000003033|MELON PETIT CALIBRE PIECE|MELON PETIT CALIBRE PIECE||||UNIT||true|||false|false
0000000003034|MELON GROS CALIBRE PIECE|MELON GROS CALIBRE PIECE||||UNIT||true|||true|false
