EAN|NAME|DESCRIPTION|BRAND|REFERENCE_WEIGHT|REFERENCE_VOLUME|PRODUCT_TYPE|UNIT_NAME|ACTIVE|PLU|ICON|FORBIDDEN_TO_SALE|VARIABLE_WEIGHT
3000000000014|Pommes Golden|Pommes fraîches bio|Brand A|1.000|2.500|WEIGHT|kg|true|4020|🍎|false|true
3000000000021|Lait UHT 1L|Lait demi-écrémé|Brand B|1.000|1.000|UNIT|L|true||🥛|false|false
3000000000038|Baguette Tradition|Pain de tradition|Brand C|0.250|0.600|UNIT|kg|true||🥖|false|false
3000000000045|Café Grains 500g|Café moulu arabica|Brand D|0.500|1.250|UNIT|kg|true||☕|false|false
3000000000052|Pâtes Penne 500g|Pâtes alimentaires|Brand E|0.500|1.250|WEIGHT|kg|true|501|🍝|false|false
3000000000069|Huile d'Olive 1L|Huile vierge extra|Brand F|1.000|1.000|UNIT|L|true||🫒|false|false
3000000000076|Eau Minérale 1.5L|Eau de source|Brand G|1.500|1.500|UNIT|L|true||💧|false|false
3000000000083|Jambon Blanc 100g|Tranches de jambon|Brand H|0.100|0.250|WEIGHT|kg|true|210|🥓|false|false
3000000000090|Beurre Doux 250g|Motte de beurre|Brand I|0.250|0.600|WEIGHT|kg|true|220|🧈|false|false
3000000000106|Yaourt Nature 4x125g|Pots de yaourt|Brand J|0.500|1.250|UNIT|kg|true||🥛|false|false
3000000000113|Coca-Cola 1.5L|Boisson gazeuse|Brand K|1.500|1.500|UNIT|L|true||🥤|false|false
3000000000120|Orangina 1.25L|Boisson aux agrumes|Brand L|1.250|1.250|UNIT|L|true||🥤|false|false
3000000000137|Biscuits Chocolat 200g|Paquet de biscuits|Brand M|0.200|0.500|UNIT|kg|true||🍪|false|false
3000000000144|Chips Classiques 150g|Chips de pomme de terre|Brand N|0.150|0.400|UNIT|kg|true||🍟|false|false
3000000000151|Sauce Tomate 500g|Sauce bolognaise|Brand O|0.500|1.250|UNIT|kg|true||🍅|false|false
3000000000168|Purée de Pomme de Terre 500g|Purée instantanée|Brand P|0.500|1.250|UNIT|kg|true||🥔|false|false
3000000000175|Concombre|Légume frais|Brand Q|0.300|0.750|WEIGHT|kg|true|4062|🥒|false|true
3000000000182|Tomates Cerises 500g|Tomates rondes|Brand R|0.500|1.250|WEIGHT|kg|true|4796|🍅|false|false
3000000000199|Oeufs Bio 6 unités|Oeufs frais gros|Brand S|0.360|0.900|UNIT|kg|true||🥚|false|false
3000000000205|Poulet Rôti 1.2kg|Poulet fermier|Brand T|1.200|3.000|WEIGHT|kg|true|230|🍗|false|false
3000000000212|Saumon Fume 200g|Tranches de saumon|Brand U|0.200|0.500|WEIGHT|kg|true|240|🐟|false|false
3000000000229|Riz Basmati 1kg|Riz long grain|Brand V|1.000|2.500|UNIT|kg|true||🍚|false|false
3000000000236|Lentilles Vertes 500g|Légumes secs|Brand W|0.500|1.250|UNIT|kg|true||🫘|false|false
3000000000243|Miel d'Acacia 500g|Pot de miel|Brand X|0.500|1.250|UNIT|kg|true||🍯|false|false
